Clip Name,From,To,Parents,Transition Frame,IsActive,State Machine Paths,Duration,LoopCheck,TangentCheck,Previewed?,Exported?,Rendered,Cycles Reviewed,Post Processed,Video player OK,Video player notes,,,,,,,,,,
Left_Panting_Transition_A,17444,17474,Left/Left_Panting,5810,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Left_Panting_Transition_B,17564,17594,Left/Left_Panting,5930,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Left_Shy_Transition_A,17780,17810,Left/Left_Shy,6147,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Left_Shy_Transition_B,17900,17930,Left/Left_Shy,6267,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Left_Shy_Transition_C,18020,18050,Left/Left_Shy,6387,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Left_Still_Transition_A,18261,18291,Left/Left_Still,6629,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Movement so small - impossible to tell,,,,,,,,,,
Left_TasteAir_Tansition_A,18475,18505,Left/Left_TasteAir,6843,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,
Left_Shuffle_Transition_A,18703,18733,Left/Left_Shuffle,7071,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Left_Obedient_Transition_A,18890,18920,Left/Left_Obedient,7258,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Left_Obedient_Transition_B,19025,19055,Left/Left_Obedient,7393,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Left_Obedient_Transition_C,19130,19160,Left/Left_Obedient,7498,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Left_Obedient_Transition_D,19250,19280,Left/Left_Obedient,7618,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Left_Stare_Transition_A,19515,19545,Left/Left_Stare,7883,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Left_Stare_Transition_B,19635,19665,Left/Left_Stare,8003,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Left_Sleepy_Transition_A,19876,19906,Left/Left_Sleepy,8244,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Left_Sleepy_Transition_B,19996,20026,Left/Left_Sleepy,8364,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_IdleB_Transition_A,20214,20244,Right/Right_IdleB,8582,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_IdleB_Transition_B,20334,20364,Right/Right_IdleB,8702,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_ShakeHead_Transition_A,20543,20573,Right/Right_ShakeHead,9001,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_SmellAir_Transition_A,20705,20735,Right/Right_SmellAir,9163,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_IdleC_Transition_A,20965,20995,Right/Right_IdleC,9424,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,
Right_IdleC_Transition_B,21085,21115,Right/Right_IdleC,9544,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,
Right_Panting_Transition_A,21291,21321,Right/Right_Panting,9750,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_Panting_Transition_B,21411,21441,Right/Right_Panting,9870,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_Shy_Transition_A,21627,21657,Right/Right_Shy,10086,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_Shy_Transition_B,21747,21777,Right/Right_Shy,10206,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_Shy_Transition_C,21867,21897,Right/Right_Shy,10326,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_Still_Transition_A,22108,22138,Right/Right_Still,10567,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Movement so small - impossible to tell,,,,,,,,,,
Right_TasteAir_Tansition_A,22324,22354,Right/Right_TasteAir,10783,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_Shuffle_Transition_A,22550,22580,Right/Right_Shuffle,11009,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_Obedient_Transition_A,22737,22767,Right/Right_Obedient,11196,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_Obedient_Transition_B,22857,22887,Right/Right_Obedient,11316,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_Obedient_Transition_C,22977,23007,Right/Right_Obedient,11436,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_Obedient_Transition_D,23097,23127,Right/Right_Obedient,11556,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_Stare_Transition_A,23362,23392,Right/Right_Stare,11821,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_Stare_Transition_B,23482,23512,Right/Right_Stare,11941,FALSE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_Sleepy_Transition_A,23723,23753,Right/Right_Sleepy,12182,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_Sleepy_Transition_B,23843,23873,Right/Right_Sleepy,12302,TRUE,,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_To_Left,23941,24011,Right_Left,,TRUE,,71,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Left_To_Right,24011,24067,Left_Right,,TRUE,,57,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_To_Front_B,24067,24150,Right_Front,,TRUE,,84,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Front_To_Left_B,24150,24300,Front_Left,,TRUE,,151,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Left_To_Right_B,24300,24383,Left_Right,,TRUE,,84,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Right_To_Left_B,24383,24457,Right_Left,,TRUE,,75,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Left_To_Front_B,24457,24491,Left_Front,,TRUE,,35,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Duplicated frames,,,,,,,,,,
Front_To_Right_B,24491,24555,Front_Right,,TRUE,,65,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Front_To_Left,150,186,Front_Left,,FALSE,,37,,,,,,,,,,,,,,,,,,,
Left_To_Front,335,371,Left_Front,,FALSE,,37,,,,,,,,,,,,,,,,,,,
Front_To_Right,371,407,Front_Right,,FALSE,,37,,,,,,,,,,,,,,,,,,,
Right_To_Front,556,592,Right_Front,,FALSE,,37,,,,,,,,,,,,,,,,,,,
Right_To_Left,23941,24011,Right_Left,,FALSE,,71,,,,,,,,,,,,,,,,,,,
Left_To_Right,24011,24067,Left_Right,,FALSE,,57,,,,,,,,,,,,,,,,,,,
Right_To_Front_B,24067,24150,Right_Front,,FALSE,,84,,,,,,,,,,,,,,,,,,,
Front_To_Left_B,24150,24300,Front_Left,,FALSE,,151,,,,,,,,,,,,,,,,,,,
Left_To_Right_B,24300,24383,Left_Right,,FALSE,,84,,,,,,,,,,,,,,,,,,,
Right_To_Left_B,24383,24457,Right_Left,,FALSE,,75,,,,,,,,,,,,,,,,,,,
Left_To_Front_B,24457,24491,Left_Front,,FALSE,,35,,,,,,,,,,,,,,,,,,,
Front_To_Right_B,24491,24555,Front_Right,,FALSE,,65,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,total false,76,,,,,,,,,,,
,,,,,,,,,,,,,,Removing misc ,76,,,,,,,,,,,
,,,,,,,,,,,,,,Total % ,62.80%,,,,,,,,,,,
,,,,,,,15134,,,,,,,,,,,,,,,,,,,
